,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_ms,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,Release_date,album_type
36,VALENTINO,0c7K73roy6RW4ebDkf4yGh,"('24kGoldn',)","('6fWVd57NKTalqvmjRd2t8Z',)",88,179133,0.745,0.718,-4.853,0,0.197,0.539,151.097,2019-01-25,single
37,Señorita,0TK2YIli7K1leLovkQiNik,"('Shawn Mendes', 'Camila Cabello')","('7n2wHs1TKAczGzO7Dd2rGr', '4nDoRrQiYLoBzwC5BhVJzF')",97,190960,0.759,0.54,-6.039,0,0.037,0.75,116.947,2019-06-21,single
38,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,"('Polo G', 'Lil Tjay')","('6AgTAQt8XS6jRWi4sX7w49', '6jGMq4yGs7aQzuGsMgVgZR')",87,166560,0.772,0.639,-7.119,1,0.15,0.261,168.112,2019-06-07,album
39,Lalala,51Fjme0JiitpyXKuyQiCDo,"('Y2K', 'bbno$')","('6USMTwO0MNDnKte5a5h0xx', '41X1TR6hrK8Q2ZCpp2EqCz')",95,160626,0.843,0.391,-7.899,1,0.181,0.496,129.972,2019-06-28,single
40,Panini,6fTt0CH2t0mdeB2N9XFG5r,"('Lil Nas X',)","('7jVv8c5Fj3E9VhNjxT4snq',)",89,114893,0.703,0.594,-6.146,0,0.342,0.475,153.848,2019-06-21,single
41,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,"('J. Cole',)","('6l3HvQ5sa6mXTsMTB19rO5',)",87,213593,0.837,0.364,-11.713,1,0.149,0.463,123.984,2019-01-23,single
42,F.N,0RLLvYBopDwooCyvnTwgYu,"('Lil Tjay',)","('6jGMq4yGs7aQzuGsMgVgZR',)",84,224000,0.567,0.515,-10.265,0,0.354,0.321,120.1,2019-10-11,album
43,Liar,7LzouaWGFCy4tkXDOOnEyM,"('Camila Cabello',)","('4nDoRrQiYLoBzwC5BhVJzF',)",94,207038,0.74,0.498,-6.684,0,0.0169,0.652,98.016,2019-09-04,single
44,Did It Again,4guBZjUyrGoHsTahO3IHdj,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",86,116240,0.686,0.561,-9.929,0,0.185,0.186,148.775,2019-08-30,album
45,ROXANNE,696DnlkuDOXcMAnKlTgXXK,"('Arizona Zervas',)","('0vRvGUQVUjytro0xpb26bs',)",90,163636,0.621,0.601,-5.616,0,0.0522,0.457,116.735,2019-10-10,single
46,Wow.,7xQAfvXzm3AkraOtGPWIZg,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",89,149546,0.829,0.539,-7.359,0,0.136,0.388,99.96,2019-09-06,album
47,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,"('Ed Sheeran', 'Khalid')","('6eUKZXaKkcviH0Ku9w2n3V', '6LuN9FCkKOj5PcnpouEgny')",93,197866,0.64,0.648,-8.113,0,0.124,0.548,92.977,2019-06-28,single
48,Good as Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,"('Lizzo', 'Ariana Grande')","('56oDRnqbIiwx4mymNEv7dS', '66CXWjxzNUsdJxJ2JdwvnR')",91,159011,0.668,0.892,-3.001,0,0.298,0.478,95.927,2019-10-25,single
49,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,"('Ellie Goulding', 'Juice WRLD')","('0X2BH1fck6amBIoJhDVmmJ', '4MCBfE4596Uoi2O4DtmEMz')",89,186223,0.657,0.768,-4.628,1,0.108,0.759,75.025,2019-06-26,single
50,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",89,156266,0.405,0.646,-3.206,0,0.331,0.17,130.218,2019-09-06,album
51,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,"('Zedd', 'Kehlani')","('2qxJFvFYMEDqd7ui6kSAcq', '0cGUm45nv7Z6M6qdXYQGTX')",89,210901,0.693,0.564,-3.857,0,0.399,0.574,185.913,2019-09-27,single
52,Immortal,4IO8X9W69dIQe0EC5ALXhq,"('21 Savage',)","('1URnnhqYAYcrqrcwql10ft',)",85,254723,0.741,0.87,-3.494,0,0.00813,0.663,184.194,2019-10-31,single
53,when the party's over,43zdsphuZLzwA9k4DJhU0I,"('Billie Eilish',)","('6qqNVTkY8uBg9cP3Jd7DAH',)",90,196077,0.367,0.111,-14.084,1,0.978,0.198,82.642,2019-03-29,album
54,Baby,2nKYHpmwjLaEOXS3o7QMiz,"('Quality Control', 'Lil Baby', 'DaBaby')","('6i392l38cR3uBPF0DbNs7S', '5f7VJjfbwm532GiveGC0ZK', '4r63FhuTkUYltbVAg5TQnk')",84,142417,0.97,0.463,-7.259,1,0.0957,0.46,108.003,2019-07-17,single
55,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,"('Lil Nas X', 'DaBaby')","('7jVv8c5Fj3E9VhNjxT4snq', '4r63FhuTkUYltbVAg5TQnk')",85,151040,0.717,0.598,-5.613,0,0.22,0.496,153.905,2019-09-13,single
56,Stuck In A Dream (feat. Gunna),7iHHxY2NLlJRAmlAmC4ahQ,"('Lil Mosey', 'Gunna')","('5zctI4wO9XSKS8XwcnqEHk', '2hlmm7s2ICUX0LVIhVFlZQ')",86,123560,0.748,0.648,-6.445,0,0.481,0.726,139.952,2019-11-08,album
57,Somebody,735RSTb2xbtWbDtKD9XDYi,"('Internet Money', 'Lil Tecca', 'A Boogie Wit da Hoodie')","('6MPCFvOQv5cIGfw3jODMF0', '4Ga1P7PMIsmqEZqhYZQgDo', '31W5EY0aAly4Qieq6OFu6I')",85,174333,0.63,0.671,-6.659,0,0.363,0.333,89.921,2019-10-11,single
58,Woah,598yNsG1JFrGd4n2kMoz7F,"('Lil Baby',)","('5f7VJjfbwm532GiveGC0ZK',)",85,183011,0.882,0.602,-5.554,1,0.0177,0.43,142.959,2019-11-08,single
59,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,"('Diplo', 'Morgan Wallen')","('5fMUXHkw8R8eOP2RNVYEZX', '4oUHIQIBe0LHzYfvXNW4QM')",85,169226,0.764,0.555,-6.414,1,0.275,0.255,111.004,2019-08-16,single
60,Lover,1dGr1c8CrMLDpV6mPbImSI,"('Taylor Swift',)","('06HL4z0CvFAxyc27GXpf02',)",89,221306,0.359,0.543,-7.582,1,0.492,0.453,68.534,2019-08-23,album
61,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,"('Tyler, The Creator',)","('4V8LLVI7PbaPR0K2TGSxFF',)",85,190066,0.554,0.498,-8.866,1,0.23,0.413,79.635,2019-05-17,album
62,Motivation,0rIAC4PXANcKmitJfoqmVm,"('Normani',)","('2cWZOOzeOm4WmBJRnD5R7I',)",89,193837,0.599,0.887,-3.967,1,0.0192,0.881,170.918,2019-08-16,single
63,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,"('Lil Uzi Vert',)","('4O15NlyKLIASxsJ0PrXPfz',)",84,243976,0.729,0.603,-6.736,0,0.0948,0.207,134.972,2019-04-09,single
64,Robbery,6Hj9jySrnFppAI0sEMCZpJ,"('Juice WRLD',)","('4MCBfE4596Uoi2O4DtmEMz',)",85,240050,0.685,0.692,-5.122,1,0.328,0.578,159.966,2019-03-08,album
65,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",86,151873,0.799,0.291,-7.353,0,0.873,0.406,97.984,2019-10-25,album
66,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,"('Post Malone', 'Meek Mill', 'Lil Baby')","('246dkjvS1zLTtiykXe5h60', '20sxb77xiYeusSH8cVdatc', '5f7VJjfbwm532GiveGC0ZK')",86,218320,0.442,0.737,-5.046,1,0.0589,0.21,112.93,2019-09-06,album
67,On God,2SasoXZyv82yYgHiVOvxQn,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",86,136350,0.41,0.886,-4.413,0,0.0671,0.393,72.577,2019-10-25,album
68,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,"('Ed Sheeran', 'Camila Cabello', 'Cardi B')","('6eUKZXaKkcviH0Ku9w2n3V', '4nDoRrQiYLoBzwC5BhVJzF', '4kYSro6naA4h99UJvo89HB')",93,204466,0.857,0.621,-6.376,0,0.148,0.668,97.986,2019-07-12,album
69,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,"('Bazzi',)","('4GvEc3ANtPPjt1ZJllr5Zl',)",89,165714,0.812,0.519,-4.823,1,0.379,0.554,104.954,2019-08-09,album
70,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,"('NLE Choppa', 'Blueface')","('0ErzCpIMyLcjPiwT4elrtZ', '3Fl1V19tmjt57oBdxXKAjJ')",84,176631,0.894,0.511,-4.768,1,0.0251,0.568,120.08,2019-06-20,single
71,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,"('Young Thug', 'J. Cole', 'Travis Scott')","('50co4Is1HCEo8bhOyUWKpn', '6l3HvQ5sa6mXTsMTB19rO5', '0Y5tJX1MQlPlqiwlOH1tJY')",86,200106,0.796,0.586,-6.946,0,0.0247,0.179,97.981,2019-05-23,single
72,Start Wit Me (feat. Gunna),5ravc2aiNoYmu9m37diYXW,"('Roddy Ricch', 'Gunna')","('757aE44tKEUQEqRuT6GnEB', '2hlmm7s2ICUX0LVIhVFlZQ')",84,146600,0.919,0.556,-6.049,0,0.0933,0.539,130.025,2019-10-25,single
73,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,"('Post Malone', 'Halsey', 'Future')","('246dkjvS1zLTtiykXe5h60', '26VFTg2z8YR0cCuwLzESi2', '75Pf8IiXv0bh6rMdN4Sj4t')",86,245266,0.614,0.66,-2.848,1,0.19,0.452,145.01,2019-09-06,album
74,Callaita,2TH65lNHgvLxCKXM3apjxI,"('Bad Bunny', 'Tainy')","('4q3ewBCX7sLwd24euuV69X', '0GM7qgcRCORpGnfcN2tCiB')",93,250533,0.61,0.624,-4.773,1,0.6,0.244,176.169,2019-05-31,single
75,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,"('Marshmello', 'Kane Brown')","('64KEffDW9EtZ1y2vBYgq8T', '3oSJ7TBVCWMDMiYjXNiCKE')",88,181823,0.659,0.623,-2.253,1,0.0667,0.439,88.042,2019-06-21,single
76,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,"('Niall Horan',)","('1Hsdzj7Dlq2I7tHP7501T4',)",90,158805,0.591,0.841,-4.351,0,0.0119,0.392,109.034,2019-10-04,single
77,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,"('Ariana Grande', 'Social House')","('66CXWjxzNUsdJxJ2JdwvnR', '5UjifI1TYefXWn9GdqDOHl')",89,186106,0.4,0.795,-3.731,0,0.119,0.702,190.097,2019-08-02,single
78,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,"('Taylor Swift',)","('06HL4z0CvFAxyc27GXpf02',)",88,171360,0.771,0.671,-5.617,1,0.00929,0.714,85.026,2019-08-23,album
79,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,"('Lil Tecca', 'Juice WRLD')","('4Ga1P7PMIsmqEZqhYZQgDo', '4MCBfE4596Uoi2O4DtmEMz')",84,171253,0.684,0.671,-6.424,0,0.0119,0.45,179.987,2019-08-30,album
80,Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,"('Taylor Swift', 'Shawn Mendes')","('06HL4z0CvFAxyc27GXpf02', '7n2wHs1TKAczGzO7Dd2rGr')",86,221306,0.448,0.603,-7.176,1,0.433,0.422,205.272,2019-11-13,single
81,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,"('Mustard', 'NAV', 'Playboi Carti', 'A Boogie Wit da Hoodie')","('0YinUQ50QDB7ZxSCLyQ40k', '7rkW85dBwwrJtlHRDkJDAC', '699OTQXzgjhIYAHMy9RyPD', '31W5EY0aAly4Qieq6OFu6I')",84,174100,0.883,0.525,-8.054,0,0.189,0.312,99.978,2019-06-28,album
82,Selah,39JRmdKFka1Oe09FoOCPI4,"('Kanye West',)","('5K4W6rqBFWDnAN6FQUkS6x',)",85,164619,0.482,0.618,-5.673,0,0.647,0.146,90.076,2019-10-25,album
83,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,"('Post Malone', 'Swae Lee')","('246dkjvS1zLTtiykXe5h60', '1zNqQNIdeOUZHb8zbZRFMX')",88,157560,0.755,0.522,-4.368,1,0.533,0.925,89.96,2019-09-06,album
84,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,"('J Balvin', 'Bad Bunny')","('1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X')",93,242573,0.754,0.646,-5.795,1,0.152,0.429,176.089,2019-06-28,album
85,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,"('Megan Thee Stallion', 'Ty Dolla $ign', 'Nicki Minaj')","('181bsRPaVXVlUKXrxwZfHK', '7c0XG5cIJTrrAgEC3ULPiq', '0hCNtLu0JehylgoiP8L4Gh')",84,199427,0.872,0.814,-4.568,1,0.00485,0.57,98.985,2019-08-09,single
86,Ride It,2tnVG71enUj33Ic2nFN6kZ,"('Regard',)","('4ofCBoyEiGSePFAG500xev',)",95,157605,0.893,0.748,-4.299,0,0.272,0.867,117.958,2019-07-26,single
87,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,"('YoungBoy Never Broke Again',)","('7wlFDEWiM5OoIAt8RSli8b',)",82,185865,0.82,0.697,-7.296,0,0.0349,0.629,154.992,2019-10-11,album
88,7 rings,6ocbgoVGwYJhOv1GgI9NsF,"('Ariana Grande',)","('66CXWjxzNUsdJxJ2JdwvnR',)",90,178626,0.778,0.317,-10.732,0,0.592,0.327,140.048,2019-02-08,album
89,Everything We Need,24bnCCysWnbNRNUT4LpHcP,"('Kanye West', 'Ty Dolla $ign', 'Ant Clemons')","('5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq', '028lPW2NdWHdSPCkRkcyhd')",85,116559,0.894,0.416,-6.823,0,0.312,0.463,116.96,2019-10-25,album
90,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,"('Lil Nas X', 'Billy Ray Cyrus')","('7jVv8c5Fj3E9VhNjxT4snq', '60rpJ9SgigSd16DOAG7GSa')",92,157066,0.878,0.619,-5.56,1,0.0533,0.639,136.041,2019-06-21,single
91,Up All Night,1mpD5Q8IM32I4bF6eCpU74,"('Khalid',)","('6LuN9FCkKOj5PcnpouEgny',)",84,157220,0.665,0.712,-7.536,1,0.00103,0.669,93.989,2019-11-14,single
92,Love Me,4e0FYxSROat25pH16zMTZI,"('Lil Tecca',)","('4Ga1P7PMIsmqEZqhYZQgDo',)",86,117013,0.719,0.538,-6.897,0,0.632,0.803,204.132,2019-08-30,album
93,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,"('Megan Thee Stallion', 'DaBaby')","('181bsRPaVXVlUKXrxwZfHK', '4r63FhuTkUYltbVAg5TQnk')",82,192539,0.921,0.635,-4.904,1,0.0218,0.549,130.028,2019-05-17,album
94,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,"('Kanye West', 'Clipse', 'Kenny G')","('5K4W6rqBFWDnAN6FQUkS6x', '2J257euzcjnDLipsyJH3F2', '6I3M904Y9IwgDjrQ9pANiB')",84,213877,0.611,0.459,-3.926,0,0.614,0.177,148.28,2019-10-25,album
95,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,"('Mustard', 'Migos')","('0YinUQ50QDB7ZxSCLyQ40k', '6oMuImdp5ZcFhWP0ESe6mG')",85,192470,0.682,0.559,-5.545,1,0.174,0.137,202.015,2019-06-28,album
96,My Type,5KBARWIxeMGkvUax9VtVC9,"('Saweetie',)","('6cK3NBO6uP7hh0oyuVELFl',)",83,126446,0.899,0.811,-6.294,1,0.000677,0.587,105.038,2019-03-29,album
97,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,"('Harry Styles',)","('6KImCVD70vtIoJWnq6nGn3',)",87,174000,0.548,0.816,-4.209,1,0.122,0.557,95.39,2019-11-17,single
98,INTRO,77KMttn3Lic7ZQKDlPqp8v,"('DaBaby',)","('4r63FhuTkUYltbVAg5TQnk',)",82,172800,0.862,0.685,-7.699,0,0.0342,0.672,100.024,2019-09-27,album
99,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,"('Summer Walker', 'Bryson Tiller')","('57LYzLEk2LcFghVwuWbcuS', '2EMAnMvWE2eb56ToJVfCWs')",84,143226,0.726,0.408,-6.606,0,0.603,0.459,115.918,2019-10-04,album
100,Trigger,0Z26mbSHJ1dkUu7g9DDgif,"('Major Lazer', 'Khalid', 'Death Stranding: Timefall', 'Diplo')","('738wLrAtLtCtFOLvQBXOXp', '6LuN9FCkKOj5PcnpouEgny', '4rojTfP5nRkmYpdSbWQgV4', '5fMUXHkw8R8eOP2RNVYEZX')",88,171986,0.57,0.585,-7.041,1,0.128,0.378,97.285,2019-10-24,single
101,China,2ksOAxtIxY8yElEWw8RhgK,"('Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna')","('2R21vXR83lH98kGeO99Y66', '4VMYDCV2IEDYJArk749S6m', '790FomKkXshlbRYZFtlgla', '1vyhD5VmyZ7KMfW5gqLgo5', '1i8SpTcr7yvPOmcqrbnVXY')",96,301714,0.786,0.808,-3.702,1,0.0846,0.609,105.027,2019-07-19,single
102,Reply (feat. Lil Uzi Vert),364spZLB5bhNlnPrzvUB41,"('A Boogie Wit da Hoodie', 'Lil Uzi Vert')","('31W5EY0aAly4Qieq6OFu6I', '4O15NlyKLIASxsJ0PrXPfz')",81,183588,0.512,0.623,-6.553,0,0.0187,0.219,112.15,2019-11-15,single
103,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,"('Ariana Grande',)","('66CXWjxzNUsdJxJ2JdwvnR',)",88,207320,0.717,0.653,-5.634,1,0.229,0.412,106.966,2019-02-08,album
