,Song,Song_ID,Artists,Artists_Id,Popularity,Lengthofsing_ms,danceability,energy,loudness,Modemajor1_happier,acousticness,valence,tempo,Release_date,Album_type,source,Fear,Trust,Joy,Disgust,Anticipation,Sadness,Suprise,Anger,Negative,Positive
2031,Buttered Up,1Uue730zlycJb8dN6n6PHz,Yung Gravy,2YOYua8FpudSEiB9s88IgQ,63,170173,0.7070000000000001,0.6990000000000001,-7.032,0,0.0349,0.6409999999999999,159.91299999999995,2019-05-31,album,genius.com,0.0,0.014598540145985401,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0,0.0072992700729927005,0.0036496350364963502,0.0,0.11678832116788317
2032,Happy Days,6GHAAp25FcGdaHgAn8rTif,blink-182,6FBDaR13swtiWwGhX1WQsP,66,179000,0.539,0.857,-4.489,1,0.00279,0.605,154.971,2019-09-20,album,genius.com,0.010683760683760684,0.008547008547008548,0.025641025641025637,0.002136752136752137,0.01923076923076923,0.004273504273504274,0.004273504273504274,0.0,0.01923076923076923,0.027777777777777773
2033,Searching,1tV2yuoRQnyaNLw7am5YBI,iann dior,6ASri4ePR7RlsvIQgWPJpS,63,138823,0.745,0.7040000000000001,-7.1670000000000025,0,0.24,0.0873,101.984,2019-11-08,album,genius.com,0.042328042328042326,0.012345679012345678,0.012345679012345678,0.02821869488536155,0.015873015873015872,0.01763668430335097,0.015873015873015872,0.03350970017636684,0.05291005291005291,0.037037037037037035
2034,South of the Border ,3vQhEd4lOg4mAV6CHCgoHW,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,71,173454,0.789,0.858,-4.388,1,0.22,0.491,110.012,2019-10-04,single,genius.com,0.015267175572519085,0.015267175572519085,0.03307888040712469,0.015267175572519085,0.0076335877862595426,0.012722646310432571,0.005089058524173028,0.005089058524173028,0.020356234096692113,0.08142493638676844
2035,Redesigning Women,31S0wn0oWPO6EVX084IVU1,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,62,174933,0.579,0.621,-5.934,1,0.27,0.611,139.39,2019-07-26,single,genius.com,0.09395973154362416,0.006711409395973154,0.0,0.020134228187919462,0.040268456375838924,0.040268456375838924,0.0,0.06711409395973153,0.07382550335570469,0.026845637583892617
2036,Superman Is Dead,3RtDQEXpu3VDgLB9DIGNFW,Pouya,4nXOZlYoAD67hF9aUEncMY,62,196765,0.902,0.609,-8.454,0,0.163,0.38799999999999996,125.041,2019-07-01,album,genius.com,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.004761904761904762,0.014285714285714287,0.01904761904761905,0.009523809523809525,0.014285714285714287,0.01904761904761905,0.01904761904761905
2037,Dust,2R3eeElZ5X1RWK2x3R59QR,Matt Simons,1g0fXhQMHAxlRyIBkCbuE7,61,198479,0.657,0.589,-9.91,1,0.155,0.5770000000000001,92.031,2019-04-05,album,genius.com,0.061749571183533476,0.00686106346483705,0.008576329331046312,0.03945111492281304,0.00686106346483705,0.03773584905660377,0.005145797598627787,0.065180102915952,0.08233276157804464,0.013722126929674101
2038,Glory,6hypt8VPJxeMXTTcRUHS86,The Score,2q3GG88dVwuQPF4FmySr9I,68,166693,0.564,0.613,-5.055,1,0.111,0.48,84.95100000000002,2019-02-01,single,genius.com,0.026578073089701,0.0,0.009966777408637873,0.0033222591362126247,0.036544850498338874,0.016611295681063124,0.013289036544850499,0.01993355481727575,0.036544850498338874,0.01993355481727575
2039,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,69,203133,0.743,0.544,-5.737,1,0.0392,0.19899999999999998,129.97899999999998,2019-09-13,album,genius.com,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941
2040,Real Thing,24KD18eYQQQWaSW9Von1vA,Ruel,5xkAtLTf309LAGZTbvULBn,67,192413,0.6709999999999999,0.583,-6.551,0,0.154,0.43,125.916,2019-09-13,album,genius.com,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941
