,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
4792,"Matthäus-Passion, BWV 244, Pt. 2: No. 41, Des Morgens aber hielten alle Hohepriester und die Ältesten des Volks einen Rat",7egkrd2GUF7SqqsCWOkW2g,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",10,118.333,0.542,0.133,-17.778,0,0.948,0.243,99.735,album
4793,"Prélude in A Minor, BWV 922",7r1sUCUOWGGWOAsfdhkXG2,"('Johann Sebastian Bach', 'Alexandra Papastefanou')","('5aIqB5nVVvmFsvSdExz408', '5sPok1nKe7zxDhfPXTBIn2')",8,423.865,0.337,0.0499,-22.648,0,0.994,0.0922,71.691,album
4794,"Matthäus-Passion, BWV 244, Pt. 2: No. 38, Petrus aber saß draußen im Palast",7tejdYn8OdAsvcEw5xKFGm,"('Johann Sebastian Bach', 'Gächinger Kantorei Stuttgart', 'Bach-Collegium Stuttgart', 'Unknown Artist', 'Helmuth Rilling')","('5aIqB5nVVvmFsvSdExz408', '74vxVfLrY2p52HK91qnEGQ', '4XQYvVelb3jgS2YCYKxuiO', '74Ch11L4833kZ9VfyziR3K', '5TwA5VjT0UxdrtnEWT9saC')",10,161.0,0.393,0.0822,-20.178,1,0.962,0.128,77.159,album
4795,"Prelude and fugue E Minor, BWV 548: Fugue E Minor, BWV 548",01Yi4nLoqhEy80WjtmFsw7,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,450.616,0.197,0.326,-14.85,0,0.58,0.206,63.006,album
4796,"Prelude and fugue D Minor, BWV 539: Fugue D Minor, BWV 539",071tJ20nKlcLTUrciCCspK,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,311.997,0.104,0.0698,-24.793,0,0.982,0.0796,81.81,album
4797,"Trio sonata E Minor, BWV 528 - Un poco Allegro: Un poco Allegro",0AEVOrr5JcoF2Btp0djqvC,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,158.804,0.143,0.0528,-30.567,0,0.958,0.245,88.607,album
4798,"Pastorale F Major, BWV 590 - Allemande: Allemande",0L8kDL3leSQiUCfGO8MgJ6,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",6,166.237,0.171,0.0113,-37.718,1,0.993,0.125,71.873,album
4799,"""Orgelbüchlein"" - Ich ruf zu dir, Herr Jesu Christ, BWV 639: BWV 639",0LaXX8wllCmBoLvYVqkWVK,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,141.427,0.196,0.0389,-33.431,0,0.987,0.326,56.457,album
4800,"Chorale partita - Sei gegrüßet, Jesu gütig, BWV 768 - Variation VII: Variation VII",0T4DuooHOEb6Ugml7J5X0C,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",5,67.56,0.0887,0.29,-15.315,0,0.741,0.435,85.832,album
4801,"Concerto D Minor after Antonio Vivaldi, BWV 596 - Allegro: Allegro",0TcwpRLSEPecB7MgWIN45E,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",5,166.93,0.145,0.209,-17.935,0,0.866,0.164,67.429,album
